ParticipantId,AgeCDI,EngPropCDI,SpanPropCDI,Gender
AA04M058,19,35,65,M
AA04M058,26,22,78,M
AA30F039,30,16,84,F
AB03F057,24,80,20,F
AC17F058,18,10,90,F
AF01F058,22,18,82,F
AG06M058,28,12,88,M
AG21M059,29,49,51,M
AJ14M058,24,56,44,M
AJ14M058,31,49,51,M
AL06F098,24,81,19,F
AL13F039,22,32,68,F
AL16F039,27,9,91,F
AL28F118,32,4,96,F
AM18F020,18,60,40,F
AM18M078,18,65,36,M
AM18M078,24,21,79,M
AM18M078,29,14,86,M
AM22M088,24,15,85,M
AO31F030,30,53,47,F
AP15F088,24,48,52,F
AP15F088,32,46,54,F
AP28F030,28,23,77,F
AR15F039,19,62,38,F
AR15F039,23,68,32,F
AS24M088,30,37,63,M
AS28F039,29,3,97,F
AW04M057,25,65,35,M
AW04M057,31,68,32,M
BC21M088,24,35,65,M
BC21M088,31,23,77,M
BN14M098,24,43,57,M
BN14M098,30,0,100,M
CA26M039,26,16,84,M
CC05M088,19,30,70,M
CC05M088,24,30,70,M
CD26M020,26,51,49,M
CE24M068,29,12,88,M
CF27F089,27,11,89,F
CF27F089,30,14,86,F
CG10M058,19,53,47,M
CG10M058,25,33,67,M
CK19F088,24,32,68,F
CK19F088,31,75,25,F
CP31F088,31,40,60,F
CR29M098,30,28,72,M
CS04F047,25,47,53,F
CS04F047,30,49,51,F
CS07F078,26,89,11,F
CS21M078,21,91,9,M
CS21M078,27,82,18,M
CS23F039,23,16,84,F
CS23F039,29,16,84,F
CT21M048,24,61,39,M
CT21M048,30,45,55,M
CV32M038,32,42,58,M
CW02F097,23,74,26,F
CW02F097,28,94,6,F
CW02F097,31,77,23,F
DB31M030,31,92,8,M
DG12M048,24,50,50,M
DG29F098,29,17,83,F
DR13M038,25,61,39,M
DS29M039,30,1,99,M
DV27M058,30,62,38,M
DY10M048,18,86,14,M
DY10M048,25,87,13,M
DY10M048,26,87,13,M
DY10M048,32,85,15,M
EA22F108,24,29,71,F
EB19M039,20,16,84,M
EB19M039,30,21,79,M
EC29F030,29,16,84,F
EC30M058,33,25,75,M
ED06M117,18,91,9,M
ED06M117,30,97,3,M
EG03F107,26,93,7,F
EG12M048,19,11,89,M
EG12M048,24,6,94,M
EG31M049,31,30,70,M
EJ19F108,19,35,65,F
EJ19F108,31,41,59,F
EM25F039,29,18,82,F
EO04F018,24,23,77,F
EP14F109,19,37,63,F
ER17M078,24,41,59,M
ER31F058,32,42,58,F
ES11M099,18,43,57,M
ET09F058,24,49,52,F
ET32F098,32,20,80,F
EU10F048,19,22,78,F
EU10F048,27,24,76,F
EV23F088,30,8,92,F
FA20M039,20,4,96,M
FA20M039,24,4,96,M
FM08F039,18,75,25,F
GB21M058,32,1,99,M
GG17M078,25,42,58,M
GH11M098,19,75,25,M
GH11M098,25,75,25,M
GM18F049,24,14,86,F
GM24F098,31,73,27,F
GR14M119,18,54,46,M
GS24F058,25,28,72,F
GS24F058,30,35,65,F
HE03F038,21,96,4,F
HS13M087,24,55,45,M
IA25F058,29,22,78,F
IC14F039,27,12,88,F
IC28M039,28,53,47,M
IR22M018,27,77,23,M
IR30M058,31,36,64,M
JC18M088,19,26,74,M
JE09M048,19,49,51,M
JE18M088,26,29,71,M
JE25F058,25,9,91,F
JH11M058,22,43,57,M
JH11M058,32,36,64,M
JM04F048,27,61,39,F
JM08M048,18,63,37,M
JM08M048,23,59,41,M
JM14F039,18,23,77,F
JM14F039,24,14,86,F
JM14M58B,24,28,72,M
JM17M039,17,67,33,M
JM17M039,24,43,57,M
JM17M039,28,72,28,M
JM30F048,30,60,40,F
JO21M068,24,27,73,M
JO21M068,29,15,85,M
JO25M059,25,34,66,M
JR15M119,18,62,38,M
JR23M049,23,28,72,M
JS20M058,24,30,70,M
JS25M019,29,23,77,M
JS32F059,33,14,86,F
JV04M057,25,26,74,M
JV04M057,31,36,64,M
JV04M057,36,39,61,M
KB09F049,22,57,43,F
KG23F019,28,21,79,F
KG23F019,31,21,79,F
KH06F098,22,71,29,F
KH24F010,25,19,81,F
KV23F108,24,16,84,F
KV23F108,30,10,90,F
KW16F048,19,57,43,F
KW16F048,28,58,42,F
LG21M058,25,37,63,M
LH19M049,21,32,68,M
LK24F068,25,74,26,F
LP21M088,25,35,66,M
MA05M018,24,4,96,M
MA05M018,31,11,89,M
MB30M078,30,65,35,M
MC07M058,19,55,45,M
MC07M058,25,55,45,M
MD06M048,23,55,45,M
MD27F020,27,24,76,F
MF04F117,19,65,35,F
MF04F117,25,77,23,F
MG00M068,19,20,80,M
MG04F057,19,1,99,F
MG21M039,22,28,72,M
MK03M057,24,85,15,M
MK03M057,30,81,19,M
MK03M057,34,85,15,M
ML27F028,30,19,81,F
MM16M088,25,33,67,M
MS11F038,24,77,23,F
MS31F058,32,68,32,F
MV11M058,25,49,51,M
MV11M058,32,46,54,M
MW02M048,23,38,62,M
NA00M058,20,18,82,M
NR19F069,35,28,72,F
NW07M108,21,75,25,M
OF32F058,32,58,42,F
OO18F088,24,30,70,F
OO18F088,29,2,98,F
PA26M109,26,45,55,M
PI20F058,24,50,50,F
PI20F058,30,38,62,F
PR20F078,25,44,56,F
PR20F078,33,38,62,F
RA25M039,25,42,58,M
RA25M039,30,29,71,M
RA25M039,32,29,71,M
RA26F039,26,16,84,F
RH19M048,19,79,21,M
RH19M048,29,79,21,M
RI30M058,30,42,59,M
RL17M058,24,50,50,M
SB12M048,18,75,25,M
SL03F038,21,68,32,F
SL14F038,25,56,44,F
SM17F039,25,61,39,F
SM17F039,30,61,39,F
SM25F069,28,19,81,F
SP24F039,24,12,88,F
SS07F088,22,31,69,F
SS11F058,21,13,87,F
SS11F058,31,27,74,F
SW31F048,32,58,42,F
TM30M058,31,71,29,M
TR12M048,23,54,46,M
TS20M118,22,60,40,M
TS20M118,28,71,30,M
VA24M030,24,64,36,M
VE15F088,17,51,49,F
VE15F088,24,37,63,F
VE15F088,29,35,65,F
VG11F088,25,40,61,F
VG11F088,31,43,57,F
VG27F049,27,20,80,F
VL18F058,24,60,40,F
VO19M039,20,16,84,M
VP23F039,23,60,40,F
VP23F039,30,50,50,F
YT29F049,30,18,82,F
ZZ21M049,21,32,68,M
ZZ21M049,32,51,49,M
